uen,amenity_name,street_name,building_name,postal_code,latitude,longitude
10389700C,ANG TIONG HO,ANG MO KIO AVENUE 1,na,569970,,
197000433C,AMIGO TIMBER INDUSTRY PRIVATE LIMITED,KRANJI WAY,na,739432,,
199403300K,ARYACORP (S) PTE LTD,MAXWELL ROAD,MAXWELL HOUSE,069113,,
199601152C,AJI   INTERNATIONAL PTE. LTD.,JALAN AFIFI,PAYA LEBAR GREEN,409179,,
199806141G,AQUACULTURE TECHNOLOGIES PTE LTD,NEO TIEW LANE,na,719095,,
200412752K,ALTEC PRIVATE LIMITED,MAXWELL ROAD,MAXWELL HOUSE,069113,,
200615116M,ALPHA X ENGINEERING PTE. LTD.,TUAS SOUTH AVENUE 2,FOOD ASCENT,637601,,
200618906E,AIR8 PTE. LTD.,KALLANG JUNCTION,na,339265,,
200811670W,ACE EATING HOUSE PTE. LTD.,MACPHERSON ROAD,CITIMAC,368239,,
200813220H,ADVANTMATE PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
200814655R,ALPHA DIGITEQ DISTRIBUTIONS PTE. LTD.,ROCHOR ROAD,ROCHOR CENTRE,180001,,
200904375D,ARAS DEVELOPMENT PTE. LTD.,JALAN AFIFI,PAYA LEBAR GREEN,409179,,
200918836Z,AA GOLDSMITH PTE. LTD.,JOO CHIAT ROAD,na,427376,,
200921367Z,ALPHA X MARINE PTE. LTD.,TUAS SOUTH AVENUE 2,FOOD ASCENT,637601,,
201002710K,ASIAN LEADERSHIP CENTRE PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
201135877E,ANKC TRADING PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
201203431G,AN UNION HOLDING PTE. LTD.,SHUNFU ROAD,na,570315,,
201312045K,ALL ALLIANCES PTE. LTD.,MACPHERSON ROAD,CITIMAC,368239,,
201332252R,ARCADE BAR PTE. LTD.,CUSCADEN ROAD,MING ARCADE,249720,,
201407169C,AYON PTE. LTD.,MACPHERSON ROAD,na,368240,,
201419468E,ATOMIC EDGE PTE. LTD.,LIM CHU KANG LANE 9,na,719529,,
201532832E,ALBU-MAN PTE. LTD.,MACPHERSON ROAD,na,368241,,
201533556G,ANTI-AGING CLINIC PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
201729988M,AUGMEN+ TECHNOLOGIES PTE. LTD.,JALAN AFIFI,PAYA LEBAR GREEN,409179,,
201802919G,AKSHAYA INVESTMENT & PROCUREMENT SERVICES PTE. LTD.,YISHUN AVENUE 5,na,760102,,
201824504K,ASEARA PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
201837137K,ASTRAIOS FINTECH PTE. LTD.,HARRISON ROAD,na,369650,,
201943417E,AF88 BUILDERS PTE. LTD.,LORONG AMPAS,GS BUILDING,328780,,
202010421C,AODI INTERNATIONAL PTE. LTD.,TUAS SOUTH AVENUE 2,FOOD ASCENT,637601,,
202010639K,A CANDY BAR PTE. LTD.,CUSCADEN ROAD,MING ARCADE,249720,,
202022583E,AL-RABECA RESTAURANT PTE. LTD.,KIM KEAT ROAD,na,328840,,
202322847M,ALINA & CO PTE. LTD.,SIMS DRIVE,na,380060,,
202512650H,ALPHA COLLECTIVE RESOLVE PTE. LTD.,GEYLANG ROAD,na,389672,,
26485700C,AIK KIAN SOON,YUNG KUANG ROAD,na,610008,,
32719500B,ADRIAN TEO HUMAN RESOURCES CONSULTANTS,PASIR PANJANG ROAD,na,118787,,
33663100J,ADINNO ENGINEERING AND SUPPLIES,KRANJI WAY,na,739427,,
42644200L,ABSOLUTE SOUND AND VIDEO,CLEMENCEAU AVENUE NORTH,na,229490,,
42743900X,ANG AIK TIONG TECHNOLOGY ENTERPRISES,JALAN SULTAN,na,198974,,
43060900X,ACCESS OFFICE SERVICES,LORONG 30 GEYLANG,na,398351,,
48815800A,ANGELI CATERING SERVICES & RESTAURANT,EAST COAST ROAD,na,429014,,
51318100L,ABEL INDUSTRIAL SUPPLIES,ANG MO KIO INDUSTRIAL PARK 3,na,569467,,
52843889A,A M J COMMUNICATIONS,ANG MO KIO INDUSTRIAL PARK 3,na,569477,,
52866644D,ABDELNOOR BODYWORKS,BROOKVALE WALK,na,599954,,
52875608K,A 111 LOCKSMITH,COLOMBO COURT,na,179742,,
52894167D,ANG CHEE KEONG & ASSOCIATES,WEST COAST ROAD,na,127387,,
52914430A,A* CONSULTANTS,MAXWELL ROAD,MAXWELL HOUSE,069113,,
52966487M,ANCIENT SOUND RESTORE,PAYA LEBAR ROAD,na,408999,,
53021569A,AUTHENTIC TRADENET SERVICES,TUAS SOUTH AVENUE 2,FOOD ASCENT,637601,,
53039891E,ANITA KASHYAP,TANGLIN ROAD,TANGLIN SHOPPING CENTRE,247909,,
53041157A,ASTA EMPLOYMENT AGENCY,MAXWELL ROAD,MAXWELL HOUSE,069113,,
53042384K,APRIL INITIAL,NEW BUGIS STREET,na,188869,,
53065007W,ART SUPPLIES (ASIA PACIFIC),KALLANG AVENUE,KALLANG AVENUE INDUSTRIAL CENTRE,339501,,
53074516W,ABUNDANT LIFE COMMUNICATIONS,YISHUN AVENUE 5,na,760102,,
53109525L,ATRIX ENTERPRISE,MAXWELL ROAD,MAXWELL HOUSE,069113,,
53114430E,AI - SENSE,WOODLANDS CENTRE ROAD,na,731001,,
53142152W,ALPHA 7 CREATIVES,MAXWELL ROAD,MAXWELL HOUSE,069113,,
53146562D,ACZLENT SERVICES,MAXWELL ROAD,MAXWELL HOUSE,069113,,
53154891X,AZDOT,MAXWELL ROAD,MAXWELL HOUSE,069113,,
53201621A,ASIA DYNAMICS ADVISORY,DUNEARN ROAD,na,309420,,
53292513X,A.AAMEER FRESH & FROZEN FOOD SUPPLIER,OLD AIRPORT ROAD,na,390019,,
53406113C,AMBERSHOTS,UPPER EAST COAST ROAD,BAGNALL COURT,466619,,
T05LL0211D,AUSTASIA SERVICES LLP,MAXWELL ROAD,MAXWELL HOUSE,069113,,
T07LL1154L,ARLNOV TRADING LLP,MAXWELL ROAD,MAXWELL HOUSE,069113,,
T11LL0857F,ALBARAKAH 777 ENTERPRISES LLP,MAXWELL ROAD,MAXWELL HOUSE,069113,,
T14LL1769G,ANGELWORKZ LLP,TAI SENG AVENUE,na,534415,,
T15LL0084D,AMK6 IMPORT AND WHOLESALE TRADING LLP,MAXWELL ROAD,MAXWELL HOUSE,069113,,
T16LL0509C,AWARD ELECTRONIC LLP,MAXWELL ROAD,MAXWELL HOUSE,069113,,
T20LL0219H,ANNONA LANDSCAPE & MAINTENANCE SERVICES LLP,TANJONG KATONG ROAD,na,437134,,
197500239R,BENNOVA (F.E.) PTE. LTD.,AMBER ROAD,na,439852,,
197801178H,BMA ASSOCIATES (PTE) LTD,FLOWER ROAD,na,549412,,
200704847M,BVMW (SINGAPORE) PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
200720570C,BEAUFORT OVERSEAS TRADING PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
200916385G,BOGAM PRIVATE LIMITED,UPPER BUKIT TIMAH ROAD,GOH & GOH BUILDING,588174,,
201012117W,BRIGHTWAY EXIM PTE. LTD.,TECK CHYE TERRACE,na,545729,,
201017311D,BUGIS CONFECTIONERY WORLD PTE. LTD.,NEW BUGIS STREET,na,188870,,
201026545R,BRAINQUARTZ PTE. LTD.,MACPHERSON ROAD,CITIMAC,368239,,
201107633Z,BOH HOLDINGS PTE. LTD.,PASIR RIS FARMWAY 2,na,519316,,
201109011W,BRIDGINGMINDS NETWORK PTE. LTD.,KALLANG JUNCTION,na,339265,,
201130927N,B K LIM MARBLE & STONE PTE. LTD.,LORONG AMPAS,GS BUILDING,328778,,
201210764K,BLOSSOM HILL PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
201316857G,BIBLE MISSION CHURCH LTD.,YUAN CHING ROAD,EDEN SCHOOL,618653,,
201318163G,BH BIKES SINGAPORE PTE. LTD.,HAVELOCK ROAD,na,059765,,
201413309G,BORDERLESS INTEGRATORS PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
201424505G,BITU ENGINEERING PTE. LTD.,MACPHERSON ROAD,CITIMAC,368239,,
201437954E,BO YING WIRING ENGINEERING PTE. LTD.,MACPHERSON ROAD,CITIMAC,368239,,
201602734C,BUMA PARTNERS PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
201807029K,BLUEVENTAIR PTE. LTD.,MAXWELL ROAD,MAXWELL HOUSE,069113,,
202215933W,BRANDED LIFESTYLE ASIA LIMITED,KALLANG JUNCTION,na,339265,,
202306866R,BRANDED LIFESTYLE SG PTE. LTD.,KALLANG JUNCTION,na,339265,,
202341644K,BRANDED LIFESTYLE TW PTE. LTD.,KALLANG JUNCTION,na,339265,,
31386900J,BJ PROPERTY AND ASSOCIATES,CUSCADEN ROAD,MING ARCADE,249720,,
32510600B,BENG POH GOLDSMITH & JEWELLERY CO,GEYLANG EAST AVENUE 3,na,001438,,
32933400W,B & J FLORAL AND 'GIFT CENTRE,WEST COAST DRIVE,na,000512,,
47636900B,BERTICO PACIFIC ASSOCIATES,EVELYN ROAD,ENCHANTE,309299,,
48548200B,BYLANDERS REAL ESTATE,KIM YAM ROAD,na,239330,,
52832396B,BAN LOKE MANUFACTURING TRADING,JALAN TERUSAN,na,619295,,
52845368L,BUSINESS FIELD COMMERCIAL SERVICES,WOODLANDS CENTRE ROAD,na,731004,,
52942585L,BOOKWORKS SERVICES,WISHART ROAD,PENDER COURT,098729,,
53029724L,B'JOY TRADING,MANDALAY ROAD,na,308228,,
53074759J,BANG BANG TRADING,YUAN CHING ROAD,LAKESIDE APARTMENTS,618648,,
53087469E,BLACK BOX PHOTOGRAPHY,MAXWELL ROAD,MAXWELL HOUSE,069113,,
53111595W,BIZACC SERVICES,HOUGANG AVENUE 2,na,530718,,
53135573W,BLACK WATER,GILLMAN HEIGHTS,na,108001,,
53147317A,B&B DESIGN AND PRINT,TAI SENG AVENUE,na,534413,,
53188159L,BRIGHT STARS RESOURCES IMPORT EXPORT,EVERTON ROAD,na,089394,,
53247483W,BEAU-D STUDIO,ROCHOR ROAD,ROCHOR CENTRE,180001,,
53307117L,BCW LUBRICANT,JALAN TEMBUSU,na,438238,,
53307836M,BERYANI OF ASIA,NORTH BRIDGE ROAD,na,198713,,
53310381M,BLUESPOT TECH,MAXWELL ROAD,MAXWELL HOUSE,069113,,
