planning_area,category,model,score
ANG MO KIO,community_spaces,2sfca,27.95379496818724
ANG MO KIO,community_spaces,cumulative,640.0833333333334
ANG MO KIO,community_spaces,hansen,84134.65025396642
ANG MO KIO,education_institutions,2sfca,65.19117283479675
ANG MO KIO,education_institutions,cumulative,211.25
ANG MO KIO,education_institutions,hansen,850.6354775208798
ANG MO KIO,emergency_services,2sfca,2.8697022574357036
ANG MO KIO,emergency_services,cumulative,2.9166666666666665
ANG MO KIO,emergency_services,hansen,8808.127672572118
ANG MO KIO,essential_services,2sfca,100.32086820362947
ANG MO KIO,essential_services,cumulative,164.91666666666666
ANG MO KIO,essential_services,hansen,1334820.2520427415
ANG MO KIO,transport_services,2sfca,134.52817403789308
ANG MO KIO,transport_services,cumulative,434.1666666666667
ANG MO KIO,transport_services,hansen,674223.9714649717
BEDOK,community_spaces,2sfca,45.353664435852245
BEDOK,community_spaces,cumulative,592.625
BEDOK,community_spaces,hansen,128884.04770806202
BEDOK,education_institutions,2sfca,121.81933679034378
BEDOK,education_institutions,cumulative,230.5
BEDOK,education_institutions,hansen,32980.53076562288
BEDOK,emergency_services,2sfca,6.058094553444678
BEDOK,emergency_services,cumulative,4.375
BEDOK,emergency_services,hansen,12.687865847658008
BEDOK,essential_services,2sfca,188.13980103945403
BEDOK,essential_services,cumulative,185.125
BEDOK,essential_services,hansen,6750.2788594502645
BEDOK,transport_services,2sfca,235.2103231558578
BEDOK,transport_services,cumulative,454.0
BEDOK,transport_services,hansen,2476.8433607363763
BISHAN,community_spaces,2sfca,24.86447045841463
BISHAN,community_spaces,cumulative,681.3333333333334
BISHAN,community_spaces,hansen,163.32626878469685
BISHAN,education_institutions,2sfca,64.7325552138851
BISHAN,education_institutions,cumulative,241.66666666666666
BISHAN,education_institutions,hansen,2668079.1017403933
BISHAN,emergency_services,2sfca,2.7728258819090734
BISHAN,emergency_services,cumulative,3.3333333333333335
BISHAN,emergency_services,hansen,18.43026261822698
BISHAN,essential_services,2sfca,106.79691533592471
BISHAN,essential_services,cumulative,215.66666666666666
BISHAN,essential_services,hansen,5335614.333935904
BISHAN,transport_services,2sfca,126.28234057079256
BISHAN,transport_services,cumulative,502.3333333333333
BISHAN,transport_services,hansen,955.4468421199384
BOON LAY,community_spaces,2sfca,9.85139924439154
BOON LAY,community_spaces,cumulative,202.25
BOON LAY,community_spaces,hansen,22.497234438064677
BOON LAY,education_institutions,2sfca,35.63165009617662
BOON LAY,education_institutions,cumulative,85.25
BOON LAY,education_institutions,hansen,55.56759366395218
BOON LAY,emergency_services,2sfca,3.885202818959625
BOON LAY,emergency_services,cumulative,2.75
BOON LAY,emergency_services,hansen,8.140390556835964
BOON LAY,essential_services,2sfca,55.119080920163995
BOON LAY,essential_services,cumulative,65.75
BOON LAY,essential_services,hansen,94.58219167971627
BOON LAY,transport_services,2sfca,178.5886357248058
BOON LAY,transport_services,cumulative,382.25
BOON LAY,transport_services,hansen,2001043.3834634954
BUKIT BATOK,community_spaces,2sfca,24.690024527705575
BUKIT BATOK,community_spaces,cumulative,581.4444444444445
BUKIT BATOK,community_spaces,hansen,111581.9882326297
BUKIT BATOK,education_institutions,2sfca,71.21549654505537
BUKIT BATOK,education_institutions,cumulative,217.22222222222223
BUKIT BATOK,education_institutions,hansen,891732.7303879282
BUKIT BATOK,emergency_services,2sfca,3.680402715039808
BUKIT BATOK,emergency_services,cumulative,3.6666666666666665
BUKIT BATOK,emergency_services,hansen,13.436937870866167
BUKIT BATOK,essential_services,2sfca,115.76911122631292
BUKIT BATOK,essential_services,cumulative,177.0
BUKIT BATOK,essential_services,hansen,5338772.3454422
BUKIT BATOK,transport_services,2sfca,141.2428504040366
BUKIT BATOK,transport_services,cumulative,443.8888888888889
BUKIT BATOK,transport_services,hansen,893494.8337177727
BUKIT MERAH,community_spaces,2sfca,14.79361049643097
BUKIT MERAH,community_spaces,cumulative,683.0588235294117
BUKIT MERAH,community_spaces,hansen,252.07431036886396
