planning_area,category,category_norm,composite_score,composite_percentile,composite_rank,importance_label,confidence_label,model_spread,model_std_norm,dominant_model,laggard_model,rank_median,rank_mean,rank_spread,pareto_priority,model_min_norm,model_max_norm,2sfca_norm,2sfca_raw,rank_2sfca,cumulative_norm,cumulative_raw,rank_cumulative,hansen_norm,hansen_raw,rank_hansen
ANG MO KIO,community_spaces,community_spaces,39.966338815793215,85.45454545454545,9.0,Priority for action,Low agreement,60.090664856026144,26.37757361070838,cumulative,hansen,18.0,15.0,11.0,False,2.6441517011955944,62.73481655722174,53.25225998798038,27.95379496818724,8.0,62.73481655722174,640.0833333333334,19.0,2.6441517011955944,84134.65025396642,18.0
ANG MO KIO,education_institutions,education_institutions,38.57941802674866,67.27272727272727,19.0,Priority for action,Low agreement,62.336589117168344,27.31418545053782,cumulative,hansen,20.0,20.333333333333332,9.0,False,0.005316447755772214,62.34190556492412,52.21888395887421,65.19117283479675,16.0,62.34190556492412,211.25,20.0,0.005316447755772214,850.6354775208798,25.0
ANG MO KIO,emergency_services,emergency_services,9.950979074294867,25.454545454545453,42.0,Priority for action,Low agreement,35.31830286636172,15.480872934083425,cumulative,hansen,32.0,22.333333333333332,29.0,True,0.03523248717363746,35.35353535353536,5.739404514871407,2.8697022574357036,32.0,35.35353535353536,2.9166666666666665,32.0,0.03523248717363746,8808.127672572118,3.0
ANG MO KIO,essential_services,essential_services,39.07321723812754,67.27272727272727,19.0,Priority for action,Low agreement,45.69897511618926,20.974584395483546,cumulative,hansen,20.0,19.0,11.0,False,8.342532256830939,54.0415073730202,51.52431217294843,100.32086820362947,20.0,54.0415073730202,164.91666666666666,24.0,8.342532256830939,1334820.2520427415,13.0
ANG MO KIO,transport_services,transport_services,35.995099799066644,52.72727272727272,27.0,Priority for action,Low agreement,46.17661500077353,19.90909388496174,cumulative,hansen,27.0,24.666666666666668,7.0,False,8.42474208149959,54.60135708227312,45.094811516324285,134.52817403789308,20.0,54.60135708227312,434.1666666666667,27.0,8.42474208149959,674223.9714649717,27.0
BEDOK,community_spaces,community_spaces,56.0314299612323,98.18181818181819,2.0,Needs improvement,Low agreement,82.34866726919809,34.16079518593173,2sfca,hansen,13.0,11.666666666666666,18.0,False,4.050518698010279,86.39918596720837,86.39918596720837,45.353664435852245,2.0,58.08340684112516,592.625,20.0,4.050518698010279,128884.04770806202,13.0
BEDOK,education_institutions,education_institutions,62.45574068490072,100.0,1.0,Adequate,Low agreement,97.37257131019646,40.76227455649234,2sfca,hansen,15.0,11.666666666666666,16.0,False,0.2061273875903775,97.57869869778683,97.57869869778683,121.81933679034378,2.0,68.02276559865093,230.5,15.0,0.2061273875903775,32980.53076562288,18.0
BEDOK,emergency_services,emergency_services,16.66417038493414,72.72727272727273,16.0,Priority for action,Low agreement,53.03025227887352,22.688649104165837,cumulative,hansen,19.0,20.666666666666668,29.0,False,5.0751429515542533e-05,53.03030303030303,12.116189106889356,6.058094553444678,7.0,53.03030303030303,4.375,19.0,5.0751429515542533e-05,12.687865847658008,36.0
BEDOK,essential_services,essential_services,60.45921643011408,100.0,1.0,Adequate,Low agreement,96.58550210732216,39.85686774770828,2sfca,hansen,19.0,13.333333333333334,17.0,False,0.04218876589667189,96.62769087321882,96.62769087321882,188.13980103945403,2.0,60.66357181867832,185.125,19.0,0.04218876589667189,6750.2788594502645,19.0
BEDOK,transport_services,transport_services,55.70530740338926,92.72727272727272,5.0,Needs improvement,Low agreement,88.51203772408296,36.638187677255615,2sfca,hansen,22.0,20.0,32.0,False,0.03044019322416064,88.54247791730712,88.54247791730712,235.2103231558578,3.0,57.12468193384224,454.0,22.0,0.03044019322416064,2476.8433607363763,35.0
BISHAN,community_spaces,community_spaces,37.040621802818066,81.81818181818183,11.0,Priority for action,Low agreement,66.77261215196152,28.044624929494436,cumulative,hansen,17.0,22.0,29.0,False,0.005132955686549914,66.77774510764807,47.36706578916496,24.86447045841463,10.0,66.77774510764807,681.3333333333334,17.0,0.005132955686549914,163.32626878469685,39.0
BISHAN,education_institutions,education_institutions,45.19201997422954,87.27272727272727,8.0,Needs improvement,Low agreement,54.642737092703015,22.613017146804797,cumulative,hansen,13.0,11.333333333333334,13.0,False,16.67541917486304,71.31815626756605,51.85152593651483,64.7325552138851,17.0,71.31815626756605,241.66666666666663,13.0,16.67541917486304,2668079.1017403933,4.0
BISHAN,emergency_services,emergency_services,10.853656079017535,40.0,34.0,Priority for action,Low agreement,40.40396668303914,17.883391482185317,cumulative,hansen,28.0,30.333333333333332,9.0,False,7.372100126630349e-05,40.4040404040404,5.545651763818147,2.7728258819090734,36.0,40.4040404040404,3.3333333333333335,28.0,7.372100126630349e-05,18.43026261822698,27.0
BISHAN,essential_services,essential_services,51.563705896496195,85.45454545454545,9.0,Needs improvement,Low agreement,37.32455149091141,15.29642126432509,cumulative,hansen,14.0,12.0,12.0,False,33.347212572441926,70.67176406335334,54.8503786241859,106.79691533592472,17.0,70.67176406335334,215.66666666666663,14.0,33.347212572441926,5335614.333935904,5.0
BISHAN,transport_services,transport_services,33.42645201454778,45.45454545454545,31.0,Priority for action,Low agreement,63.26253250077391,26.244566232650424,cumulative,hansen,25.0,27.333333333333332,21.0,False,0.011428483110744356,63.27396098388465,41.53646254567524,126.28234057079256,25.0,63.27396098388465,502.3333333333333,18.0,0.011428483110744356,955.4468421199384,39.0
