id,created_at,text,event_date,sender_id,msg_id,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code
1,,,20/3/2014,,,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,,,
2,,,4/4/2014,,,2 KAKI BUKIT ROAD 3,flash_flood,,,,,1.337334,103.901943,416161,,,
3,,,23/4/2014,,,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,
4,,,23/4/2014,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
5,,,16/5/2014,,,TENGAH FLYOVER,flash_flood,,,,,1.363822,103.707043,648170,,,
6,,,16/5/2014,,,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,
7,,,16/5/2014,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
8,,,25/6/2014,,,45019 (BUS STOP),flash_flood,,,,,1.388299,103.755539,682036,,,
9,,,25/6/2014,,,45061 (BUS STOP),flash_flood,,,,,1.407181,103.756063,729678,,,
10,,,9/7/2014,,,45019 (BUS STOP),flash_flood,,,,,1.388299,103.755539,682036,,,
11,,,9/7/2014,,,COMMONWEALTH LANE,flash_flood,,,,,1.304553,103.797475,149547,,,
12,,,29/7/2014,,,BASSEIN ROAD,flash_flood,,,,,1.323316,103.848088,309838,,,
13,,,29/7/2014,,,MACKENZIE ROAD,flash_flood,,,,,1.305873,103.848002,228708,,,
14,,,29/7/2014,,,KRAMAT LANE,flash_flood,,,,,1.300979,103.842274,228750,,,
15,,,3/9/2014,,,14379 (BUS STOP),flash_flood,,,,,1.272438,103.823794,090109,,,
16,,,24/9/2014,,,2 MANDAI ROAD,flash_flood,,,,,1.402422,103.815417,779403,,,
17,,,4/10/2014,,,21329 (BUS STOP),flash_flood,,,,,1.326915,103.709018,619625,,,
18,,,4/10/2014,,,LORONG BUANGKOK,flash_flood,,,,,1.383418,103.877972,805910,,,
19,,,31/10/2014,,,45061 (BUS STOP),flash_flood,,,,,1.407181,103.756063,729678,,,
20,,,6/11/2014,,,58161 (BUS STOP),flash_flood,,,,,1.460528,103.820374,757443,,,
21,,,8/11/2014,,,42241 (BUS STOP),flash_flood,,,,,1.337118,103.767085,598112,,,
22,,,8/11/2014,,,40099 (BUS STOP),flash_flood,,,,,1.321852,103.82344,259372,,,
23,,,13/11/2014,,,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,,,
24,,,13/11/2014,,,SEMBAWANG SHOPPING CENTRE,flash_flood,,,,,1.441853,103.82497,758459,,,
25,,,13/11/2014,,,TAN HENG LEE BUILDING,flash_flood,,,,,1.332819,103.884451,369610,,,
26,,,13/11/2014,,,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,,,
27,,,13/11/2014,,,LORONG ONG LYE,flash_flood,,,,,1.347784,103.879043,534965,,,
28,,,17/11/2014,,,LORONG GAMBIR,flash_flood,,,,,1.345476,103.875567,556140,,,
29,,,17/11/2014,,,LORONG ONG LYE,flash_flood,,,,,1.347784,103.879043,534965,,,
30,,,17/11/2014,,,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,
31,,,17/11/2014,,,HOUGANG AVE 1,flash_flood,,,,,1.353703,103.890681,530106,,,
32,,,17/11/2014,,,MACPHERSON ROAD,flash_flood,,,,,1.328704,103.872121,348741,,,
33,,,26/11/2014,,,16 SUNSET DRIVE,flash_flood,,,,,1.325782,103.766715,597092,,,
34,,,17/12/2014,,,11429 (BUS STOP),flash_flood,,,,,1.30454,103.798363,149597,,,
35,,,17/12/2014,,,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,,,
36,,,24/12/2014,,,NATIONAL SHOOTING CENTRE,flash_flood,,,,,1.372792,103.682976,698910,,,
37,,,24/4/2015,,,LORNIE VIADUCT,flash_flood,,,,,1.344614,103.8435,579847,,,
38,,,3/5/2015,,,NATIONAL SHOOTING CENTRE,flash_flood,,,,,1.372792,103.682976,698910,,,
39,,,8/6/2015,,,CHIN BEE AVE,flash_flood,,,,,1.333502,103.712787,619941,,,
40,,,8/6/2015,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
41,,,11/8/2015,,,NANYANG TECHNOLOGICAL UNIVERSITY NORTH SPINE,flash_flood,,,,,1.346176,103.682049,639798,,,
42,,,12/8/2015,,,TAMPINES STREET 32,flash_flood,,,,,1.353779,103.957994,520384,,,
43,,,9/9/2015,,,JURONG WEST STREET 51,flash_flood,,,,,1.347889,103.720531,640511,,,
44,,,2/12/2015,,,12111 (BUS STOP),flash_flood,,,,,1.319118,103.77223,120343,,,
45,,,5/12/2015,,,LORONG BUANGKOK,flash_flood,,,,,1.383418,103.877972,805910,,,
46,,,5/12/2015,,,CHURCH OF ST VINCENT DE PAUL,flash_flood,,,,,1.382224,103.876411,805910,,,
47,,,5/12/2015,,,ANG MO KIO STREET 31,flash_flood,,,,,1.365873,103.848056,560320,,,
48,,,10/12/2015,,,CHANGI FLYOVER,flash_flood,,,,,1.345806,103.982914,819658,,,
49,,,10/12/2015,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
50,,,10/12/2015,,,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,,,
51,,,10/12/2015,,,MAXWELL FOOD CENTRE,flash_flood,,,,,1.280331,103.844747,088437,,,
52,,,11/12/2015,,,PEK KIO CC,flash_flood,,,,,1.313059,103.851374,219458,,,
53,,,11/12/2015,,,BALESTIER POINT,flash_flood,,,,,1.322812,103.852026,329735,,,
54,,,11/12/2015,,,50199 (BUS STOP),flash_flood,,,,,1.324968,103.850509,308231,,,
55,,,11/12/2015,,,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,,,
56,,,11/12/2015,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
57,,,11/12/2015,,,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,,,
58,,,22/1/2016,,,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,,,
59,,,9/4/2016,,,MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD),flash_flood,,,,,1.277368,103.818652,090011,,,
60,,,20/4/2016,,,2 ENTERPRISE ROAD,flash_flood,,,,,1.333642,103.707847,629814,,,
61,,,11/5/2016,,,45061 (BUS STOP),flash_flood,,,,,1.407181,103.756063,729678,,,
62,,,11/5/2016,,,YISHUN MRT,flash_flood,,,,,1.429525,103.834995,769093,,,
63,,,18/5/2016,,,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,
64,,,17/6/2016,,,ENTERPRISE ROAD,flash_flood,,,,,1.333312,103.705117,629840,,,
65,,,17/6/2016,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
66,,,17/6/2016,,,TUAS UNDERPASS,flash_flood,,,,,1.321705,103.663691,638481,,,
67,,,8/7/2016,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
68,,,13/7/2016,,,21229 (BUS STOP),flash_flood,,,,,1.342064,103.71602,648923,,,
69,,,26/7/2016,,,NEO PEE TECK LANE,flash_flood,,,,,1.292623,103.769021,118759,,,
70,,,14/9/2016,,,50 HOUGANG AVE 1,flash_flood,,,,,1.360305,103.888083,530211,,,
71,,,24/12/2016,,,BALMORAL ROAD,flash_flood,,,,,1.313244,103.830181,257878,,,
72,,,24/12/2016,,,CAIRNHILL ROAD,flash_flood,,,,,1.308031,103.836841,228512,,,
73,,,24/12/2016,,,STEVENS ROAD,flash_flood,,,,,1.31317,103.828976,257878,,,
74,,,24/12/2016,,,UPPER THOMSON ROAD,flash_flood,,,,,1.373054,103.828958,574419,,,
75,,,24/12/2016,,,ORCHARD ROAD,flash_flood,,,,,1.303228,103.83668,229921,,,
76,,,24/12/2016,,,NEWTON CIRCUS,flash_flood,,,,,1.313224,103.838945,307943,,,
77,,,19/1/2017,,,53041 (BUS STOP),flash_flood,,,,,1.353078,103.834364,574359,,,
78,,,23/1/2017,,,134 TANJONG PAGAR ROAD,flash_flood,,,,,1.277471,103.843403,088534,,,
79,,,23/1/2017,,,MAXWELL FOOD CENTRE,flash_flood,,,,,1.280331,103.844747,088437,,,
80,,,3/2/2017,,,TAMPINES STREET 22,flash_flood,,,,,1.349038,103.951095,520272,,,
81,,,3/2/2017,,,LORONG HALUS,flash_flood,,,,,1.386169,103.923226,533850,,,
82,,,4/2/2017,,,TAMPINES FLYOVER,flash_flood,,,,,1.381657,103.917491,520175,,,
83,,,4/2/2017,,,BEDOK NORTH FLYOVER,flash_flood,,,,,1.332028,103.920369,460540,,,
84,,,8/2/2017,,,TOA PAYOH LORONG 1,flash_flood,,,,,1.338046,103.844734,310127,,,
85,,,8/2/2017,,,TOA PAYOH LORONG 2,flash_flood,,,,,1.336287,103.846514,319640,,,
86,,,8/2/2017,,,ORCHARD MRT EXIT 10,flash_flood,,,,,1.304048,103.831124,238878,,,
87,,,8/2/2017,,,STAMFORD HOUSE,flash_flood,,,,,1.294162,103.850711,179949,,,
88,,,18/4/2017,,,MOUNT ELIZABETH MEDICAL CENTRE,flash_flood,,,,,1.322137,103.844361,329562,,,
89,,,18/4/2017,,,UNIVERSITY FLYOVER,flash_flood,,,,,1.303247,103.771674,120611,,,
90,,,18/4/2017,,,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,,,
91,,,18/4/2017,,,40191 (BUS STOP),flash_flood,,,,,1.312686,103.830427,259978,,,
92,,,18/4/2017,,,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,
93,,,21/4/2017,,,UPPER CROSS STREET,flash_flood,,,,,1.285862,103.842811,058288,,,
94,,,27/4/2017,,,KOVAN ROAD,flash_flood,,,,,1.358496,103.881234,548534,,,
95,,,27/4/2017,,,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,
96,,,27/4/2017,,,TAI SENG DRIVE,flash_flood,,,,,1.337758,103.893213,535222,,,
97,,,18/6/2017,,,DAIRY FARM ROAD,flash_flood,,,,,1.353493,103.787868,289759,,,
98,,,14/7/2017,,,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,,,
99,,,14/7/2017,,,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,,,
100,,,7/10/2017,,,BISHAN MRT STATION,flash_flood,,,,,1.350706,103.848079,579827,,,
101,,,7/10/2017,,,BRADDEL MRT STATION,flash_flood,,,,,1.340605,103.847231,319758,,,
102,,,30/10/2017,,,STAMFORD ROAD,flash_flood,,,,,1.294094,103.850124,178892,,,
103,,,30/10/2017,,,VICTORIA STREET,flash_flood,,,,,1.300563,103.855781,188045,,,
