id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id
1,cafe,tanamera coffee,048622,1.2842637,103.8521009,9,40,5,679
2,restaurant,marina food house,048694,1.2844978,103.8498627,9,40,5,1617
3,cafe,% arabica,048947,1.2836323,103.8501996,9,40,5,12087
4,restaurant,toto seafood,388375,1.3152009,103.881452,9,53,301,887
5,dentist,q&m dental centre,329916,1.3263297,103.8427334,6,25,175,26172
6,cafe,starbucks,048623,1.2844628,103.851882,9,40,5,2026
7,place_of_worship,kwan im tng chinese temple,329854,1.3260081,103.846281,1,25,175,20480
8,cafe,little glass stand,048622,1.2842305,103.851847,9,40,5,12087
9,cafe,6 oz,048622,1.2842747,103.8519631,9,40,5,2026
10,fast_food,the sandwich shop,049318,1.2842619,103.8524554,9,40,5,679
11,restaurant,the dispensary heritage,387392,1.319984,103.8814991,9,53,301,8715
12,cafe,luckin coffee,048693,1.2848005,103.8499509,9,40,5,1617
13,cafe,tanamera coffee,049481,1.2839522,103.8491468,9,46,6,11114
14,bar,wine connection,049318,1.2839964,103.8525294,9,40,5,679
15,cafe,matchaya,048947,1.2839234,103.8498631,9,40,5,1613
16,restaurant,forman makan,050531,1.2845636,103.846381,9,46,6,1608
17,restaurant,braseiro,307645,1.3208715,103.8418353,9,25,140,12854
18,events_venue,lilly space,218457,1.3177319,103.8523713,1,22,129,1244
19,clinic,true care clinic,218374,1.3144784,103.8541035,6,22,129,7617
20,restaurant,din tai fung,307683,1.319896,103.8434272,9,25,140,7353
21,restaurant,kozen sushi bar & restaurant,209308,1.3120343,103.8571966,9,22,117,7536
22,prep_school,kultivate learning centre,207876,1.3112169,103.8584367,2,22,117,7559
23,restaurant,79 chuaner talk,209307,1.312079,103.85723,9,22,117,7536
24,restaurant,ryu ichi,209301,1.3122582,103.8573794,9,22,117,7538
25,restaurant,good yo,387507,1.3146953,103.881384,9,53,301,886
26,clinic,the other clinic,388369,1.3150224,103.8811219,6,53,301,887
27,fast_food,matsuki,387387,1.318951,103.8808006,9,53,301,12952
28,cafe,dutch colony coffee co.,458231,1.3142525,103.9195276,9,1,118,44258
29,restaurant,la braceria,289498,1.3316622,103.807143,9,6,191,19477
