amenity_id,nearest_road_1_id,nearest_road_1_name,nearest_road_2_id,nearest_road_2_name,nearest_road_3_id,nearest_road_3_name,nearest_road_4_id,nearest_road_4_name
70ca2f7e-0ca9-4e08-952d-bcce0deecf1a,035707,WOODLANDS AVENUE 1,018228,WOODLANDS DRIVE 17,035740,WOODLANDS AVENUE 1,028416,WOODLANDS DRIVE 17
4d57b2b1-5b97-4325-a317-0ab0dc031368,003568,HOUGANG AVENUE 1,003566,HOUGANG AVENUE 1,005717,JALAN PELIKAT,003565,HOUGANG AVENUE 1
13d62097-42b6-41b2-8861-cb31c5934b01,013544,ANCHORVALE STREET,048245,ANCHORVALE STREET,038138,ANCHORVALE STREET,027956,ANCHORVALE STREET
f36b6ee7-2f55-4085-b1fc-6d29c7b873f0,004482,ANG MO KIO STREET 22,004480,ANG MO KIO STREET 22,004479,ANG MO KIO STREET 22,013866,ANG MO KIO STREET 23
0861a764-604f-494a-a24a-a7443872caaf,003112,PANDAN GARDENS,003116,PANDAN GARDENS,003091,PANDAN GARDENS,003118,PANDAN GARDENS
6234594a-d8ed-4b85-bf5b-15a7c509beae,016890,NEW UPPER CHANGI ROAD,002180,BEDOK NORTH AVENUE 3,006463,NEW UPPER CHANGI ROAD,007456,NEW UPPER CHANGI ROAD
4a4f8e7c-6b50-421b-bb33-44a1ce151101,036093,UPPER ALJUNIED ROAD,056162,UPPER ALJUNIED ROAD,040213,UPPER ALJUNIED ROAD,062503,BIDADARI PARK DRIVE
80e359fd-6b75-4c42-9795-cca1850ef702,026523,BISHAN STREET 13,024279,BISHAN STREET 13,017503,BISHAN PLACE,024278,BISHAN STREET 13
e7f03f89-169f-40ad-a1bd-0b1fff3b8730,052608,BOON LAY PLACE,007995,BOON LAY AVENUE,052648,BOON LAY PLACE,007990,BOON LAY AVENUE
5a99b84f-7613-4b38-9ef4-1daee84713e9,054186,SERANGOON AVENUE 2,010014,SERANGOON AVENUE 3,006885,SERANGOON AVENUE 2,014837,SERANGOON AVENUE 3
ebd3061d-6452-42b8-8384-ed5bbfa5d528,041109,SENGKANG CENTRAL,045166,COMPASSVALE BOW,016282,COMPASSVALE BOW,031465,COMPASSVALE BOW
34424d25-47e8-45c0-b2a2-a373eaa81740,017033,BUKIT BATOK CENTRAL,023651,BUKIT BATOK CENTRAL,023645,BUKIT BATOK CENTRAL,047858,BUKIT BATOK CENTRAL LINK
487eb215-985f-4150-befb-0fd8e30e2521,043526,BUKIT BATOK EAST AVENUE 4,043528,BUKIT BATOK EAST AVENUE 4,043529,BUKIT BATOK EAST AVENUE 5,043511,BUKIT BATOK EAST AVENUE 4
ab900379-7f8f-4dcc-ade0-97cbe2e31f90,029647,REDHILL CLOSE,029730,REDHILL CLOSE,029728,REDHILL CLOSE,031705,REDHILL CLOSE
8d6d0809-5b57-401c-9cc2-abd05c4d9186,024873,PENDING ROAD,049274,PENDING ROAD,023162,PENDING ROAD,048364,PENDING ROAD
5b9f6391-51ef-4112-bcf0-783aad9fed95,046540,TOH TUCK ROAD,045289,TOH TUCK ROAD,046645,TOH TUCK ROAD,010147,JALAN JURONG KECHIL
dedf2acd-a0ab-4cf6-8083-ca6d5b39df3a,054296,HOLLAND DRIVE,054312,HOLLAND DRIVE,054297,HOLLAND DRIVE,054293,HOLLAND DRIVE
f4069bac-80b5-4240-8287-33cc3f3d16ca,001278,ANTHONY ROAD,028369,CLEMENCEAU AVENUE NORTH,011693,ANTHONY ROAD,024908,CLEMENCEAU AVENUE NORTH
6648c0f4-697b-4ce4-9898-ef70d263c448,001200,SEMBAWANG CRESCENT,001219,SEMBAWANG CRESCENT,001100,SEMBAWANG CRESCENT,016818,SEMBAWANG DRIVE
04a4bbf6-4476-488e-b347-7bbe118c2bab,009593,SIMEI STREET 2,009260,SIMEI STREET 2,058300,SIMEI STREET 1,048697,SIMEI STREET 1
a89504ed-90ad-4fe8-87a4-83d9434147fa,014839,ANG MO KIO STREET 53,000823,ANG MO KIO STREET 53,004865,ANG MO KIO AVENUE 8,004644,ANG MO KIO AVENUE 8
5d875954-4eac-433d-9b6c-18fdbb0bf119,023151,YISHUN RING ROAD,023071,YISHUN AVENUE 5,024876,YISHUN AVENUE 5,023070,YISHUN RING ROAD
1ee93e90-a109-4189-a67e-12ca09469b4b,048258,TECK WHYE AVENUE,048295,TECK WHYE AVENUE,024874,TECK WHYE AVENUE,048228,TECK WHYE AVENUE
efa0dfcd-aa78-489f-9c4e-50b901294d6a,026519,HOUGANG AVENUE 9,024069,HOUGANG AVENUE 9,024066,HOUGANG AVENUE 9,024061,HOUGANG STREET 92
ede1b2be-e396-4274-9935-eeb8861ebbd5,034854,UN-NAMED ROAD,008226,CLEMENTI AVENUE 5,034855,UN-NAMED ROAD,051970,CLEMENTI AVENUE 4
0bbf82aa-30bf-4480-884c-a8a70d29cbe9,000403,DOVER ROAD,010620,DOVER RISE,101053,DOVER RISE,010621,DOVER RISE
498d1ae3-8089-43f3-ae97-2e17db2e6efb,054867,BEDOK RESERVOIR ROAD,054437,BEDOK RESERVOIR ROAD,033155,BEDOK RESERVOIR ROAD,010823,BEDOK RESERVOIR ROAD
