amenity_id,nearest_first_road_id,nearest_first_road_name,nearest_second_road_id,nearest_second_road_name,nearest_third_road_id,nearest_third_road_name,nearest_fourth_road_id,nearest_fourth_road_name
8d39567d-5ea6-5751-beec-88770a9be781,296,BOUNDARY CLOSE,77,ANG MO KIO INDUSTRIAL PARK 1,266,BISHAN STREET 15,265,BISHAN STREET 14
fbed27ca-8066-5e40-8cc5-d62cadfb738c,100,ANG MO KIO STREET 63,99,ANG MO KIO STREET 62,101,ANG MO KIO STREET 64,80,ANG MO KIO INDUSTRIAL PARK 3
fb09f377-194b-5c85-9942-cc74e9136575,99,ANG MO KIO STREET 62,101,ANG MO KIO STREET 64,80,ANG MO KIO INDUSTRIAL PARK 3,100,ANG MO KIO STREET 63
187dda5f-1316-5f06-854b-0718ea11f55c,756,DEFU LANE 11,765,DEFU LANE 9,1957,KIM CHUAN ROAD,18,AIK HOE ROAD
eb89bf2e-7583-5961-95b3-2c647513f432,185,BEDOK NORTH AVENUE 4,3223,SIMEI AVENUE,179,BEDOK INDUSTRIAL PARK E,192,BEDOK NORTH STREET 5
9f90d676-aa68-561b-b7df-d4197af2cfec,348,BUKIT BATOK STREET 23,337,BUKIT BATOK CRESCENT,349,BUKIT BATOK STREET 24,343,BUKIT BATOK INDUSTRIAL PARK A
c2d042e1-f588-5613-94c6-c8b8df7b97e2,302,BRADDELL ROAD,814,DUNSFOLD DRIVE,2565,MUSWELL HILL,453,CARMICHAEL ROAD
b4a4336a-616a-51ff-84a1-38c798ea10b6,3278,SOON LEE ROAD,3277,SOON LEE DRIVE,1949,KIAN TECK LANE,1951,KIAN TECK WAY
5ce8041a-bab4-5e2f-9b5f-2270b24bdac4,139,AYER RAJAH CRESCENT,2672,ONE-NORTH AVENUE,2455,MEDIA LINK,3334,STARS AVENUE
5f7c06af-f531-5c81-87af-44da616a0ee8,2798,PAYA LEBAR STREET,2127,LITTLE ROAD,2265,LORONG PAYA LEBAR,2613,NEW INDUSTRIAL ROAD
bf38c682-26bb-5716-9167-9e06dd03a2ea,2002,KRANJI ROAD,2001,KRANJI LOOP,1495,JALAN LAM HUAT,1747,JALAN WAK SELAT
