RD_NAME,RN_ID,SZ_ID,SUBZONE_N,PA_ID,PLN_AREA_N,flood_scenario
Senoko Way,21270,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Avenue,35006,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Way,35005,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Avenue,15165,314,SEMBAWANG NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Way,23084,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Avenue,35003,314,SEMBAWANG NORTH,19,SEMBAWANG,Historical_highest60mins
Admiralty Road West,15185,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Admiralty Road West,15179,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Attap Valley Road,21257,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
"['Senoko Link', 'Senoko Loop']",27617,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
"['Senoko Link', 'Senoko Loop']",23080,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Drive,27626,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Drive,23081,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Drive,27618,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Loop,27623,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko Loop,27619,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko South Road,15101,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
Senoko South Road,24580,297,SENOKO NORTH,19,SEMBAWANG,Historical_highest60mins
North Coast Avenue,30235,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
"['Jalan Basong', 'Jalan Kandis']",20817,295,SEMBAWANG STRAITS,19,SEMBAWANG,Historical_highest60mins
North Coast Avenue,32146,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
North Coast Avenue,30231,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Industrial Park E5,31670,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Industrial Park E8,31669,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Industrial Park E7,15127,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Industrial Park E7,31624,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Link,15156,313,SENOKO SOUTH,19,SEMBAWANG,Historical_highest60mins
"['Woodlands Industrial Park E8', 'Woodlands Industrial Park E9']",31675,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Link,15159,313,SENOKO SOUTH,19,SEMBAWANG,Historical_highest60mins
Woodlands Industrial Park E7,15130,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
"['Woodlands Industrial Park E8', 'Woodlands Industrial Park E9']",31667,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Admiralty Road,35225,290,NORTH COAST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 4,31612,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Industrial Park E5,15086,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 4,31615,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 4,15085,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Industrial Park E5,36200,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Canberra Crescent,37339,273,SEMBAWANG EAST,19,SEMBAWANG,Historical_highest60mins
Woodlands Avenue 4,31657,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Canberra Crescent,27801,273,SEMBAWANG EAST,19,SEMBAWANG,Historical_highest60mins
Admiralty Road West,23074,290,NORTH COAST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 4,31617,274,SENOKO WEST,33,WOODLANDS,Historical_highest60mins
Woodlands North Coast Road,33825,272,GREENWOOD PARK,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 9,24556,321,MIDVIEW,33,WOODLANDS,Historical_highest60mins
,30248,272,GREENWOOD PARK,33,WOODLANDS,Historical_highest60mins
Gambas Avenue,30107,313,SENOKO SOUTH,19,SEMBAWANG,Historical_highest60mins
,30215,270,WOODLANDS EAST,33,WOODLANDS,Historical_highest60mins
,30219,270,WOODLANDS EAST,33,WOODLANDS,Historical_highest60mins
Marsiling Lane,33798,290,NORTH COAST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 7,15244,270,WOODLANDS EAST,33,WOODLANDS,Historical_highest60mins
Marsiling Lane,15035,290,NORTH COAST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 7,30221,270,WOODLANDS EAST,33,WOODLANDS,Historical_highest60mins
Gambas Crescent,24977,271,SEMBAWANG CENTRAL,19,SEMBAWANG,Historical_highest60mins
Yishun Avenue 8,35220,320,NORTHLAND,55,YISHUN,Historical_highest60mins
,33034,272,GREENWOOD PARK,33,WOODLANDS,Historical_highest60mins
Gambas Crescent,24983,271,SEMBAWANG CENTRAL,19,SEMBAWANG,Historical_highest60mins
Woodlands Avenue 9,21514,317,WOODLANDS REGIONAL CENTRE,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 9,33035,272,GREENWOOD PARK,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 9,21507,317,WOODLANDS REGIONAL CENTRE,33,WOODLANDS,Historical_highest60mins
Yishun Avenue 8,15409,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Neo Tiew Crescent,14903,311,LIM CHU KANG,23,LIM CHU KANG,Historical_highest60mins
Yishun Avenue 7,29358,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Neo Tiew Crescent,14908,311,LIM CHU KANG,23,LIM CHU KANG,Historical_highest60mins
Marsiling Road,21534,317,WOODLANDS REGIONAL CENTRE,33,WOODLANDS,Historical_highest60mins
Sembawang Road,22903,323,SEMBAWANG SPRINGS,19,SEMBAWANG,Historical_highest60mins
Yishun Avenue 8,30948,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Yishun Avenue 7,32995,320,NORTHLAND,55,YISHUN,Historical_highest60mins
,31013,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Bukit Timah Expressway,20563,322,WOODLANDS WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 5,24436,317,WOODLANDS REGIONAL CENTRE,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 5,21529,317,WOODLANDS REGIONAL CENTRE,33,WOODLANDS,Historical_highest60mins
Gambas Avenue,23386,323,SEMBAWANG SPRINGS,19,SEMBAWANG,Historical_highest60mins
Gambas Avenue,29205,323,SEMBAWANG SPRINGS,19,SEMBAWANG,Historical_highest60mins
Woodlands Road,36666,324,KRANJI,28,SUNGEI KADUT,Historical_highest60mins
Yishun Industrial Park A,29349,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Yishun Avenue 7,29351,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Yishun Avenue 7,34756,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Yishun Avenue 7,23251,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Woodlands Lane,21729,270,WOODLANDS EAST,33,WOODLANDS,Historical_highest60mins
Woodlands Road,24426,324,KRANJI,28,SUNGEI KADUT,Historical_highest60mins
Kranji Way,14902,269,RESERVOIR VIEW,28,SUNGEI KADUT,Historical_highest60mins
Yishun Avenue 8,30950,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Kranji Way,24654,269,RESERVOIR VIEW,28,SUNGEI KADUT,Historical_highest60mins
Woodlands Drive 50,24671,321,MIDVIEW,33,WOODLANDS,Historical_highest60mins
Woodlands Drive 50,35646,321,MIDVIEW,33,WOODLANDS,Historical_highest60mins
"['Kranji Loop', 'Kranji Way']",26496,269,RESERVOIR VIEW,28,SUNGEI KADUT,Historical_highest60mins
Yishun Avenue 6,25448,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Yishun Avenue 6,29367,320,NORTHLAND,55,YISHUN,Historical_highest60mins
,31079,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Yishun Avenue 8,33104,306,YISHUN EAST,55,YISHUN,Historical_highest60mins
Yishun Avenue 8,30945,306,YISHUN EAST,55,YISHUN,Historical_highest60mins
Yishun Avenue 9,29362,320,NORTHLAND,55,YISHUN,Historical_highest60mins
Woodlands Avenue 5,35642,304,WOODLANDS SOUTH,33,WOODLANDS,Historical_highest60mins
Woodlands Street 11,15044,322,WOODLANDS WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Street 11,30006,322,WOODLANDS WEST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 5,29918,304,WOODLANDS SOUTH,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 5,30429,270,WOODLANDS EAST,33,WOODLANDS,Historical_highest60mins
Woodlands Avenue 3,31706,305,WOODGROVE,33,WOODLANDS,Historical_highest60mins
Woodlands Street 12,34544,305,WOODGROVE,33,WOODLANDS,Historical_highest60mins
