id,created_at,text,event_date_time,sender_id,msg_id,location,event
170,2025-09-07 06:01:10.693335+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: TPE (Punggol West Flyover) [09:28 hours]",2025-09-05 01:30:26+00,-1.00162E+12,1308,TPE (Punggol West Flyover),flash_flood_risk
171,2025-09-07 06:01:10.831987+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Junction of Yishun Ave 2 and Yishun Ave 5 [09:16 hours]",2025-09-05 01:20:22+00,-1.00162E+12,1307,Junction of Yishun Ave 2 and Yishun Ave 5,flash_flood_risk
172,2025-09-07 06:01:10.993998+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Yishun Avenue 7 [09:13 hours]",2025-09-05 01:15:13+00,-1.00162E+12,1306,Yishun Avenue 7,flash_flood_risk
173,2025-09-07 06:01:11.195825+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour:   Dunearn Road (between Yarwood Ave and Binjai Park)[Issued 1347hours]",2025-08-28 05:50:38+00,-1.00162E+12,1301,Dunearn Road (between Yarwood Ave and Binjai Park)[Issued 1347hours],flash_flood_risk
174,2025-09-07 06:01:11.335184+00,Flash flood subsided at Jurong Town Hall Road (towards PIE) before Jurong East Street 11. Issued 0810 hours.,2025-08-24 00:15:15+00,-1.00162E+12,1300,Jurong Town Hall Road (towards PIE) before Jurong East Street 11,flood_subsided
175,2025-09-07 06:01:11.51741+00,"[FLASH FLOOD OCCURRED]  

Flash flood at Jurong Town Hall Road (towards PIE) before Jurong East Street 11. Please avoid the area. Issued 0749 hours.",2025-08-23 23:55:48+00,-1.00162E+12,1299,Jurong Town Hall Road (towards PIE) before Jurong East Street 11,flash_flood
176,2025-09-07 06:01:11.694761+00,"[Risk of Flash Floods] 

Due to heavy rain, please avoid this location for the next 1 hour: Jurong Town Hall Road (towards PIE) before Jurong East Street 11 [Issued 07:43hours]",2025-08-23 23:55:47+00,-1.00162E+12,1298,Jurong Town Hall Road (towards PIE) before Jurong East Street 11,flash_flood_risk
177,2025-09-07 06:01:11.864453+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Dunearn Rd (Yarwood Ave to Binjai Pk) [07:21 hours]",2025-08-23 23:25:22+00,-1.00162E+12,1297,Dunearn Rd (Yarwood Ave to Binjai Pk),flash_flood_risk
178,2025-09-07 06:01:12.059223+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Mountbatten Rd leading to Jln Seaview [02:08 hours]",2025-08-12 18:10:36+00,-1.00162E+12,1293,Mountbatten Rd leading to Jln Seaview,flash_flood_risk
179,2025-09-07 06:01:12.239465+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Junction of TG Pagar Rd and Hoe Chiang Rd [01:48 hours]",2025-08-12 17:50:42+00,-1.00162E+12,1292,Junction of TG Pagar Rd and Hoe Chiang Rd,flash_flood_risk
181,2025-09-07 06:01:12.611231+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Jln Boon Lay (Enterprise Rd to International Rd) [07:39hours]",2025-08-03 23:45:14+00,-1.00162E+12,1287,Jln Boon Lay (Enterprise Rd to International Rd),flash_flood_risk
182,2025-09-07 06:01:12.831374+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Jln Pokok Serunai [12:00 hours]",2025-07-21 04:01:31+00,-1.00162E+12,1284,Jln Pokok Serunai,flash_flood_risk
183,2025-09-07 06:01:12.998435+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd);
Jln Lokam (near Upp Paya Lebar Rd);
Thrift Dr (near Jln Usaha); [11:38 hours]",2025-07-21 03:40:21+00,-1.00162E+12,1282,"Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd);
Jln Lokam (near Upp Paya Lebar Rd);
Thrift Dr (near Jln Usaha);",flash_flood_risk
184,2025-09-07 06:01:13.16404+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Lor Gambir
 [11:30 hours]",2025-07-21 03:30:53+00,-1.00162E+12,1281,Lor Gambir,flash_flood_risk
185,2025-09-07 06:01:13.385328+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Craig Rd (Duxton Rd to TG Pagar Rd) [11:20 hours]",2025-07-21 03:25:39+00,-1.00162E+12,1280,Craig Rd (Duxton Rd to TG Pagar Rd),flash_flood_risk
186,2025-09-07 06:01:13.578888+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour:   Dunearn Road (between Yarwood Ave and Binjai Park)[Issued 08:13hours]",2025-07-09 00:20:22+00,-1.00162E+12,1276,Dunearn Road (between Yarwood Ave and Binjai Park)[Issued 08:13hours],flash_flood_risk
187,2025-09-07 06:01:13.734416+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Jln Pokok Serunai [17:51 hours]",2025-07-04 09:55:19+00,-1.00162E+12,1274,Jln Pokok Serunai,flash_flood_risk
188,2025-09-07 06:01:13.926913+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Lor Gambir
 [17:51 hours]",2025-07-04 09:55:18+00,-1.00162E+12,1273,Lor Gambir,flash_flood_risk
189,2025-09-07 06:01:14.094576+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Lor Gambir
 [17:23 hours]",2025-07-04 09:25:52+00,-1.00162E+12,1272,Lor Gambir,flash_flood_risk
191,2025-09-07 06:01:14.467614+00,"[Risk of Flash Floods] 

Due to heavy rain, please avoid this location for the next 1 hour: Riverside Road (near Junction of Riverside Road and Admiralty Road).",2025-06-28 06:00:39+00,-1.00162E+12,1268,Riverside Road (near Junction of Riverside Road and Admiralty Road).,flash_flood_risk
193,2025-09-07 06:01:14.834517+00,"[Risk of Flash Floods]

Due to heavy rain, please avoid this location for the next 1 hour: Jln Pokok Serunai [04:09 hours]",2025-06-07 20:10:22+00,-1.00162E+12,1262,Jln Pokok Serunai,flash_flood_risk
