query,lat,lon,last_updated
"Tampines Expressway Punggol West Flyover, Singapore",1.379707,103.915978,2025-09-23T14:33:15.790069
"yishun Avenue 2, Singapore",1.4371108,103.8337382,2025-09-23T14:33:15.790069
"yishun Avenue 5, Singapore",1.4304259,103.8315094,2025-09-23T14:33:15.790069
"Yishun Avenue 7, Singapore",1.4380871,103.8326446,2025-09-23T14:33:15.790069
"yarwood Avenue, Singapore",1.3375703,103.7839724,2025-09-23T14:33:15.790069
"binjai park, Singapore",1.3404925,103.787472,2025-09-23T14:33:15.790069
"Jurong Town Hall Road towards Pan Island Expressway, Singapore",1.340929,103.971106,2025-09-23T14:33:15.790069
"Jurong East Street 11, Singapore",1.3299899,103.7457325,2025-09-23T14:33:15.790069
"binjai Park, Singapore",1.3404925,103.787472,2025-09-23T14:33:15.790069
"Mountbatten Road, Singapore",1.3028098,103.8996285,2025-09-23T14:33:15.790069
"Jalan Seaview, Singapore",1.3008882,103.896421,2025-09-23T14:33:15.790069
"tg pagar Road, Singapore",1.278193,103.843765,2025-09-23T14:33:15.790069
"hoe chiang Road, Singapore",1.2740948,103.8423663,2025-09-23T14:33:15.790069
"enterprise Road, Singapore",1.3333182,103.7026361,2025-09-23T14:33:15.790069
"international Road, Singapore",1.3303924,103.716687,2025-09-23T14:33:15.790069
"Jalan Pokok Serunai, Singapore",1.3143531,103.9363658,2025-09-23T14:33:15.790069
"lim teck boo Road, Singapore",1.3422987,103.8844939,2025-09-23T14:33:15.790069
"rochdale Road, Singapore",1.3433183,103.8835973,2025-09-23T14:33:15.790069
"Lorong Gambir, Singapore",1.3461999,103.8744676,2025-09-23T14:33:15.790069
"duxton Road, Singapore",1.2775364,103.8429301,2025-09-23T14:33:15.790069
"junction of riverside road, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"admiralty road, Singapore",1.4418389,103.775189,2025-09-23T14:33:15.790069
"veerasamy Road, Singapore",1.3069003,103.8551773,2025-09-23T14:33:15.790069
"kitchener Road, Singapore",1.3099242,103.8571424,2025-09-23T14:33:15.790069
"Lorong H Telok Kurau cul-de-sac Joo Chiat Avenue cul-de-sac, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"newton circus, Singapore",1.312812,103.8390316,2025-09-23T14:33:15.790069
"Central Expressway, Singapore",1.321741,103.856535,2025-09-23T14:33:15.790069
"East Coast Road, Singapore",1.3065136,103.9057043,2025-09-23T14:33:15.790069
"Puay Hee Avenue near Siak Kew Avenue, Singapore",1.330209,103.871778,2025-09-23T14:33:15.790069
"Cambridge Road Carlisle Road, Singapore",1.313642,103.848075,2025-09-23T14:33:15.790069
"paterson Road, Singapore",1.3019737,103.8297013,2025-09-23T14:33:15.790069
"mt elizabeth, Singapore",1.3048854,103.8358774,2025-09-23T14:33:15.790069
"Queen s Road, Singapore",1.3217094,103.8102837,2025-09-23T14:33:15.790069
"toa payoh Lorong 1, Singapore",1.33961615,103.85337221643714,2025-09-23T14:33:15.790069
"toa payoh Lorong 2, Singapore",1.3325257499999998,103.84738647593639,2025-09-23T14:33:15.790069
"Aljunied Road under Pan Island Expressway Flyover, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"neo pee teck lane, Singapore",1.2920468,103.7685915,2025-09-23T14:33:15.790069
"pasir panjang Road, Singapore",1.2784095,103.7859948,2025-09-23T14:33:15.790069
"balestier Road, Singapore",1.3265878,103.8430003,2025-09-23T14:33:15.790069
"novena rise, Singapore",1.3242731,103.8429008,2025-09-23T14:33:15.790069
"prince road, Singapore",1.3209988,103.8095728,2025-09-23T14:33:15.790069
"lutheran road, Singapore",1.3220164,103.8098766,2025-09-23T14:33:15.790069
"Woollerton Drive, Singapore",1.3174547,103.8099872,2025-09-23T14:33:15.790069
"lutheran Road, Singapore",1.3220164,103.8098766,2025-09-23T14:33:15.790069
"Margaret Drive, Singapore",1.3001247,103.8030061,2025-09-23T14:33:15.790069
"Kranji Expressway Slip Road Kranji Expressway to Woodlands Road, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"Senja Way, Singapore",1.3838523,103.7589849,2025-09-23T14:33:15.790069
"towards choa chu kang way, choa chu kang Drive, Singapore",1.397513,103.747745,2025-09-23T14:33:15.790069
"teck whye lane, Singapore",1.3769504,103.7547497,2025-09-23T14:33:15.790069
"Yishun Avenue 7 near intersection of Yishun Street 22, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"prince Road, Singapore",1.3209988,103.8095728,2025-09-23T14:33:15.790069
"Coronation Walk, Singapore",1.3239188,103.8095468,2025-09-23T14:33:15.790069
"stevens road, Singapore",1.3178998,103.8258621,2025-09-23T14:33:15.790069
"balmoral road, Singapore",1.3165606,103.8342843,2025-09-23T14:33:15.790069
"clementi Road, Singapore",1.3268641,103.7757811,2025-09-23T14:33:15.790069
"blackmore Drive, Singapore",1.3356733,103.7836073,2025-09-23T14:33:15.790069
"Alexandra Road opp Alexis Condo, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"boon lay way, Singapore",1.3397559,103.7078624,2025-09-23T14:33:15.790069
"corporation Road, Singapore",1.3308794,103.721094,2025-09-23T14:33:15.790069
"stevens Road, Singapore",1.3178998,103.8258621,2025-09-23T14:33:15.790069
"balmoral Road, Singapore",1.3165606,103.8342843,2025-09-23T14:33:15.790069
"sunset Drive, Singapore",1.3255969,103.7665223,2025-09-23T14:33:15.790069
"sunset way Road, Singapore",1.3139784,103.8871279,2025-09-23T14:33:15.790069
"watten rise, Singapore",1.3285739,103.8094744,2025-09-23T14:33:15.790069
"dunearn Road, Singapore",1.332195,103.7947496,2025-09-23T14:33:15.790069
"Lorong kismis, Singapore",1.3380857,103.7704357,2025-09-23T14:33:15.790069
"toh tuck rise, Singapore",1.3366283,103.7645733,2025-09-23T14:33:15.790069
"greenridge Crescent, Singapore",1.3336062,103.7662483,2025-09-23T14:33:15.790069
"eng kong gdn, Singapore",1.3371270499999999,103.76904268077237,2025-09-23T14:33:15.790069
"Kallang-Paya Lebar Expressway East Coast Parkway after Buangkok East Drive Slip, Singapore",1.375612,103.91004,2025-09-23T14:33:15.790069
"slip Road, Singapore",1.385923,103.7570677,2025-09-23T14:33:15.790069
"buangkok east drive, Singapore",1.3739123,103.9113798,2025-09-23T14:33:15.790069
"Tampines Expressway, Singapore",1.3704809,103.9415043,2025-09-23T14:33:15.790069
"wilby Road, Singapore",1.3302335,103.7876928,2025-09-23T14:33:15.790069
"Lorong Ong Lye near Lorong Lew Lian, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"Tampines Expressway Slip Road, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"Punggol Road, Singapore",1.4012946,103.9055736,2025-09-23T14:33:15.790069
"Jalan Arif, Singapore",1.3683562,103.8828034,2025-09-23T14:33:15.790069
"Macpherson Road OD Siang Kuang Avenue, Singapore",1.329601,103.87201,2025-09-23T14:33:15.790069
"Puay Hee Avenue near Siak Kew Avenue Siang Kuang Avenue, Singapore",1.366923,103.801292,2025-09-23T14:33:15.790069
"everitt Road north, Singapore",1.3168363,103.9013344,2025-09-23T14:33:15.790069
"Lorong 106 changi, Singapore",1.3171815,103.9032135,2025-09-23T14:33:15.790069
"Marine Parade Ctrl Marine Parade Road, Singapore",1.301396,103.905945,2025-09-23T14:33:15.790069
"East Coast Parkway towards Changi Airport, Singapore",1.338224,103.980555,2025-09-23T14:33:15.790069
"Bayshore Road Slip, Singapore",1.312132,103.939068,2025-09-23T14:33:15.790069
"Tanah Merah Coast Road Entrance, Singapore",1.318466,103.984457,2025-09-23T14:33:15.790069
"Pan Island Expressway towards Changi Airport, Singapore",1.339305,103.974505,2025-09-23T14:33:15.790069
