lat,lon,postcode,last_updated
1.37971,103.91598,533760,2025-09-23T14:33:15.800617
1.43711,103.83374,760170,2025-09-23T14:33:15.800617
1.43043,103.83151,760145,2025-09-23T14:33:15.800617
1.43809,103.83264,760175,2025-09-23T14:33:15.800617
1.33757,103.78397,588035,2025-09-23T14:33:15.800617
1.34049,103.78747,589871,2025-09-23T14:33:15.800617
1.34093,103.97111,486059,2025-09-23T14:33:15.800617
1.32999,103.74573,609930,2025-09-23T14:33:15.800617
1.30281,103.89963,439970,2025-09-23T14:33:15.800617
1.30089,103.89642,438386,2025-09-23T14:33:15.800617
1.27819,103.84377,088474,2025-09-23T14:33:15.800617
1.27409,103.84237,089316,2025-09-23T14:33:15.800617
1.33332,103.70264,627667,2025-09-23T14:33:15.800617
1.33039,103.71669,618680,2025-09-23T14:33:15.800617
1.31435,103.93637,466433,2025-09-23T14:33:15.800617
1.3423,103.88449,534878,2025-09-23T14:33:15.800617
1.34332,103.8836,535823,2025-09-23T14:33:15.800617
1.3462,103.87447,536652,2025-09-23T14:33:15.800617
1.27754,103.84293,089667,2025-09-23T14:33:15.800617
1.36692,103.80129,578775,2025-09-23T14:33:15.800617
1.44184,103.77519,739297,2025-09-23T14:33:15.800617
1.3069,103.85518,200638,2025-09-23T14:33:15.800617
1.30992,103.85714,218560,2025-09-23T14:33:15.800617
1.31281,103.83903,228234,2025-09-23T14:33:15.800617
1.32174,103.85653,320095,2025-09-23T14:33:15.800617
1.30651,103.9057,428877,2025-09-23T14:33:15.800617
1.33021,103.87178,348072,2025-09-23T14:33:15.800617
1.31364,103.84807,219606,2025-09-23T14:33:15.800617
1.30197,103.8297,238520,2025-09-23T14:33:15.800617
1.30489,103.83588,229920,2025-09-23T14:33:15.800617
1.32171,103.81028,267746,2025-09-23T14:33:15.800617
1.33962,103.85337,310001,2025-09-23T14:33:15.800617
1.33253,103.84739,310157,2025-09-23T14:33:15.800617
1.29205,103.76859,118807,2025-09-23T14:33:15.800617
1.27841,103.78599,118135,2025-09-23T14:33:15.800617
1.32659,103.843,329900,2025-09-23T14:33:15.800617
1.32427,103.8429,308506,2025-09-23T14:33:15.800617
1.321,103.80957,266748,2025-09-23T14:33:15.800617
1.32202,103.80988,268070,2025-09-23T14:33:15.800617
1.31745,103.80999,258933,2025-09-23T14:33:15.800617
1.30012,103.80301,149312,2025-09-23T14:33:15.800617
1.38385,103.75898,672632,2025-09-23T14:33:15.800617
1.39751,103.74774,680637,2025-09-23T14:33:15.800617
1.37695,103.75475,680102,2025-09-23T14:33:15.800617
1.32392,103.80955,269212,2025-09-23T14:33:15.800617
1.3179,103.82586,257892,2025-09-23T14:33:15.800617
1.31656,103.83428,259920,2025-09-23T14:33:15.800617
1.32686,103.77578,599873,2025-09-23T14:33:15.800617
1.33567,103.78361,599987,2025-09-23T14:33:15.800617
1.33976,103.70786,643698,2025-09-23T14:33:15.800617
1.33088,103.72109,610165,2025-09-23T14:33:15.800617
1.3256,103.76652,597299,2025-09-23T14:33:15.800617
1.31398,103.88713,389509,2025-09-23T14:33:15.800617
1.32857,103.80947,287368,2025-09-23T14:33:15.800617
1.3322,103.79475,279886,2025-09-23T14:33:15.800617
1.33809,103.77044,596490,2025-09-23T14:33:15.800617
1.33663,103.76457,598098,2025-09-23T14:33:15.800617
1.33361,103.76625,598909,2025-09-23T14:33:15.800617
1.33713,103.76904,596463,2025-09-23T14:33:15.800617
1.37561,103.91004,535191,2025-09-23T14:33:15.800617
1.38592,103.75707,671634,2025-09-23T14:33:15.800617
1.37391,103.91138,535191,2025-09-23T14:33:15.800617
1.37048,103.9415,519961,2025-09-23T14:33:15.800617
1.33023,103.78769,275982,2025-09-23T14:33:15.800617
1.40129,103.90557,821296,2025-09-23T14:33:15.800617
1.36836,103.8828,545114,2025-09-23T14:33:15.800617
1.3296,103.87201,347973,2025-09-23T14:33:15.800617
1.31684,103.90133,419718,2025-09-23T14:33:15.800617
1.31718,103.90321,419974,2025-09-23T14:33:15.800617
1.3014,103.90595,449408,2025-09-23T14:33:15.800617
1.33822,103.98055,819665,2025-09-23T14:33:15.800617
1.31213,103.93907,469986,2025-09-23T14:33:15.800617
1.31847,103.98446,498720,2025-09-23T14:33:15.800617
1.3393,103.9745,486769,2025-09-23T14:33:15.800617
