id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id,geom,created_at
1,cafe,tanamera coffee,48622,1.2842637,103.8521009,9,40,5,679,,2025-11-01 15:10:56.351987+00
2,restaurant,marina food house,48694,1.2844978,103.8498627,9,40,5,1617,,2025-11-01 15:10:56.351987+00
3,cafe,% arabica,48947,1.2836323,103.8501996,9,40,5,12087,,2025-11-01 15:10:56.351987+00
4,restaurant,toto seafood,388375,1.3152009,103.881452,9,53,301,887,,2025-11-01 15:10:56.351987+00
5,dentist,q&m dental centre,329916,1.3263297,103.8427334,6,25,175,26172,,2025-11-01 15:10:56.351987+00
6,cafe,starbucks,48623,1.2844628,103.851882,9,40,5,2026,,2025-11-01 15:10:56.351987+00
7,place_of_worship,kwan im tng chinese temple,329854,1.3260081,103.846281,1,25,175,20480,,2025-11-01 15:10:56.351987+00
8,cafe,little glass stand,48622,1.2842305,103.851847,9,40,5,12087,,2025-11-01 15:10:56.351987+00
9,cafe,6 oz,48622,1.2842747,103.8519631,9,40,5,2026,,2025-11-01 15:10:56.351987+00
10,fast_food,the sandwich shop,49318,1.2842619,103.8524554,9,40,5,679,,2025-11-01 15:10:56.351987+00
11,restaurant,the dispensary heritage,387392,1.319984,103.8814991,9,53,301,8715,,2025-11-01 15:10:56.351987+00
12,cafe,luckin coffee,48693,1.2848005,103.8499509,9,40,5,1617,,2025-11-01 15:10:56.351987+00
13,cafe,tanamera coffee,49481,1.2839522,103.8491468,9,46,6,11114,,2025-11-01 15:10:56.351987+00
14,bar,wine connection,49318,1.2839964,103.8525294,9,40,5,679,,2025-11-01 15:10:56.351987+00
15,cafe,matchaya,48947,1.2839234,103.8498631,9,40,5,1613,,2025-11-01 15:10:56.351987+00
16,restaurant,forman makan,50531,1.2845636,103.846381,9,46,6,1608,,2025-11-01 15:10:56.351987+00
17,restaurant,braseiro,307645,1.3208715,103.8418353,9,25,140,12854,,2025-11-01 15:10:56.351987+00
18,events_venue,lilly space,218457,1.3177319,103.8523713,1,22,129,1244,,2025-11-01 15:10:56.351987+00
19,clinic,true care clinic,218374,1.3144784,103.8541035,6,22,129,7617,,2025-11-01 15:10:56.351987+00
20,restaurant,din tai fung,307683,1.319896,103.8434272,9,25,140,7353,,2025-11-01 15:10:56.351987+00
21,restaurant,kozen sushi bar & restaurant,209308,1.3120343,103.8571966,9,22,117,7536,,2025-11-01 15:10:56.351987+00
22,prep_school,kultivate learning centre,207876,1.3112169,103.8584367,2,22,117,7559,,2025-11-01 15:10:56.351987+00
23,restaurant,79 chuaner talk,209307,1.312079,103.85723,9,22,117,7536,,2025-11-01 15:10:56.351987+00
24,restaurant,ryu ichi,209301,1.3122582,103.8573794,9,22,117,7538,,2025-11-01 15:10:56.351987+00
25,restaurant,good yo,387507,1.3146953,103.881384,9,53,301,886,,2025-11-01 15:10:56.351987+00
26,clinic,the other clinic,388369,1.3150224,103.8811219,6,53,301,887,,2025-11-01 15:10:56.351987+00
27,fast_food,matsuki,387387,1.318951,103.8808006,9,53,301,12952,,2025-11-01 15:10:56.351987+00
28,cafe,dutch colony coffee co.,458231,1.3142525,103.9195276,9,1,118,44258,,2025-11-01 15:10:56.351987+00
29,restaurant,la braceria,289498,1.3316622,103.807143,9,6,191,19477,,2025-11-01 15:10:56.351987+00
30,restaurant,roo's gastrobar,458215,1.3150516,103.9191924,9,1,118,44258,,2025-11-01 15:10:56.351987+00
31,restaurant,bird bird chicken,458222,1.3147589,103.9193094,9,1,118,44258,,2025-11-01 15:10:56.351987+00
32,cafe,cedele,458232,1.3142004,103.9195506,9,1,118,44258,,2025-11-01 15:10:56.351987+00
33,restaurant,rubato,289204,1.3311997,103.8070448,9,6,191,28825,,2025-11-01 15:10:56.351987+00
34,restaurant,blue lotus - chinese eating house,98375,1.2468447,103.8420321,9,27,31,2658,,2025-11-01 15:10:56.351987+00
35,restaurant,eng's wantan noodle,538766,1.3720854,103.8937885,9,11,165,18321,,2025-11-01 15:10:56.351987+00
36,restaurant,mr bean,98997,1.2516775,103.8171735,9,27,31,4787,,2025-11-01 15:10:56.351987+00
37,restaurant,show bites,98997,1.2513061,103.8172838,9,27,31,4788,,2025-11-01 15:10:56.351987+00
38,restaurant,ah meng bistro,729826,1.4038583,103.793522,9,7,294,37376,,2025-11-01 15:10:56.351987+00
39,restaurant,hong xiang,169657,1.2895589,103.8273306,9,4,23,11517,,2025-11-01 15:10:56.351987+00
40,restaurant,liang kee,169652,1.2894543,103.827568,9,4,23,7349,,2025-11-01 15:10:56.351987+00
41,restaurant,poh huat,169646,1.289331,103.827855,9,4,23,7349,,2025-11-01 15:10:56.351987+00
42,restaurant,quan le yan seafood,169645,1.2893055,103.8279019,9,4,23,7349,,2025-11-01 15:10:56.351987+00
43,restaurant,sapporo misono,39596,1.2929958,103.8592853,9,40,77,3596,,2025-11-01 15:10:56.351987+00
44,events_venue,forest lodge,729826,1.4045241,103.7935455,1,7,294,37376,,2025-11-01 15:10:56.351987+00
45,community_centre,zi jung cultural centre,58796,1.2824017,103.8454948,1,46,3,6547,,2025-11-01 15:10:56.351987+00
46,restaurant,7 stars,540338,1.399037,103.8899278,9,20,237,32322,,2025-11-01 15:10:56.351987+00
47,fast_food,potato corner,208539,1.3115008,103.8567041,9,22,117,7472,,2025-11-01 15:10:56.351987+00
48,atm,uob,569839,1.3678184,103.8446119,4,52,329,13938,,2025-11-01 15:10:56.351987+00
49,clinic,nam ann siang theon medical centre,530231,1.3586125,103.8875676,6,11,186,34212,,2025-11-01 15:10:56.351987+00
50,fast_food,老曾记,530205,1.3595543,103.8854143,9,11,186,28302,,2025-11-01 15:10:56.351987+00
51,cafe,toast box,310530,1.3323557,103.8475767,9,29,96,28399,,2025-11-01 15:10:56.351987+00
52,atm,uob,560407,1.362097,103.8554722,4,52,163,13260,,2025-11-01 15:10:56.351987+00
53,bank,uob,570501,1.348447,103.849103,4,51,178,14251,,2025-11-01 15:10:56.351987+00
54,atm,uob,828761,1.4063749,103.902149,4,16,292,39048,,2025-11-01 15:10:56.351987+00
55,clinic,central 24-hr clinic (hougang),530681,1.3725723,103.8856713,6,11,228,30628,,2025-11-01 15:10:56.351987+00
56,clinic,rhema,534649,1.3544962,103.8791387,6,11,186,13324,,2025-11-01 15:10:56.351987+00
57,clinic,fhc dialysis centre pte ltd,545907,1.3620171,103.8856749,6,11,162,30733,,2025-11-01 15:10:56.351987+00
58,clinic,medicane associates,550107,1.3698791,103.8703705,6,21,164,15604,,2025-11-01 15:10:56.351987+00
59,bus_station,smrt,0,1.387915,103.8461217,11,52,252,30512,,2025-11-01 15:10:56.351987+00
60,fuel,shell gas station,319755,1.3410684,103.8489352,4,29,205,22533,,2025-11-01 15:10:56.351987+00
61,bank,uob,560339,1.3653809,103.8491043,4,52,330,28981,,2025-11-01 15:10:56.351987+00
62,bank,uob,556083,1.3500847,103.8732232,4,21,177,30473,,2025-11-01 15:10:56.351987+00
63,atm,uob,310212,1.34066,103.8543763,4,29,194,31064,,2025-11-01 15:10:56.351987+00
64,atm,uob,310111,1.3412341,103.8454687,4,29,210,26190,,2025-11-01 15:10:56.351987+00
65,atm,uob,310530,1.3321922,103.8473064,4,29,96,28399,,2025-11-01 15:10:56.351987+00
66,atm,uob,540118,1.3853753,103.9018221,4,20,257,38344,,2025-11-01 15:10:56.351987+00
67,atm,uob,538758,1.37093,103.89244,4,11,165,28642,,2025-11-01 15:10:56.351987+00
